year,iso,mv,close,weight,weight_float
2005,IND,624739.5832,0.585516035,0.014843849,0.008258018
2006,IND,895269.8819,0.565562232,0.017271138,0.010159182
2007,IND,1961859.187,0.621338553,0.031331629,0.016959897
2008,IND,791308.0089,0.610670223,0.023883388,0.013082649
2009,IND,1367309.893,0.616763509,0.028583986,0.015881441
2010,IND,1762461.863,0.599202634,0.032019349,0.018679005
2011,IND,1244598.654,0.605481559,0.026004792,0.014252764
2012,IND,1390416.295,0.577405486,0.025219631,0.014410728
2013,IND,1265063.578,0.576664823,0.019575912,0.010917931
2014,IND,1686708.487,0.56228229,0.024972823,0.01438331
2015,IND,1745169.237,0.544149295,0.026238884,0.015841923
2016,IND,1746297.399,0.542234773,0.025285097,0.015264144
2017,IND,2555988.799,0.536169386,0.030310569,0.018643762
2018,IND,2282310.517,0.524279093,0.031113986,0.019424222
2019,IND,2286924.471,0.520091363,0.026236562,0.016899224
2020,IND,2595465.587,0.517007467,0.025470406,0.016636904
2021,IND,2883235,0.524670877,0.029873341,0.017913814
1999,IRL,68773.18,0.142260838,0.002004371,0.002321676
2000,IRL,81882.45,0.162166185,0.002625869,0.002818996
2001,IRL,75297.84,0.104168981,0.002784988,0.003187013
2002,IRL,59937.5,0.113066534,0.002623303,0.003010791
2003,IRL,85070.38,0.115083522,0.002720189,0.003165209
2004,IRL,114085.43,0.108623811,0.003073756,0.003613857
2005,IRL,114086.16,0.109704926,0.002710694,0.003239187
2006,IRL,163269.49,0.113305094,0.003149721,0.003781433
2007,IRL,143905.26,0.15846672,0.002298221,0.002764727
2008,IRL,49489.91,0.251627057,0.001493713,0.001572777
2009,IRL,63925,0.268030113,0.00133637,0.001418143
2010,IRL,64122,0.293664112,0.00116493,0.001197643
2011,IRL,108393.17,0.595021267,0.00226478,0.001274197
2012,IRL,108989.16,0.110134986,0.001976866,0.002378618
2013,IRL,170122.68,0.190994725,0.002632521,0.002805803
2014,IRL,143465.83,0.183580722,0.002124106,0.002281846
2015,IRL,128008.85,0.144567106,0.001924632,0.002180588
2016,IRL,119828.5866,0.112958939,0.001735029,0.002029624
2017,IRL,146554.13,0.19917334,0.001737934,0.00184566
2018,IRL,110154.37,0.185965316,0.001501698,0.00160421
2019,IRL,99776,0.149078746,0.001144672,0.00130729
2020,IRL,129279,0.100523983,0.00126867,0.001543243
2021,IRL,176751,0.104085601,0.001831326,0.002069865
1999,ISR,65261.07,0.593091377,0.001902012,0.001045149
2000,ISR,66742.92,0.348566986,0.002140363,0.001786573
2001,ISR,57655.94,0.507652504,0.002132479,0.001341192
2002,ISR,42131.47,0.441643747,0.001843981,0.001332321
2003,ISR,70169.06,0.425646758,0.002243708,0.001694519
2004,ISR,91856.25,0.437010183,0.002474844,0.001837761
2005,ISR,122577.93,0.425963511,0.002912459,0.00224399
2006,ISR,161731.74,0.448603505,0.003120055,0.002329359
